,alpha-acc,Conditions
MAGNet,0.9935897435897436,CY25-05
MAGNet,0.9805194805194806,CY25-05
MAGNet,0.9736842105263158,CY25-05
MAGNet,0.9466666666666667,CY25-05
MAGNet,0.9527027027027027,CY25-05
MAGNet,0.9452054794520548,CY25-05
MAGNet,0.9305555555555556,CY25-05
MAGNet,0.943661971830986,CY25-05
MAGNet,0.9428571428571428,CY25-05
MAGNet,0.9420289855072463,CY25-05
MAGNet,0.9338235294117647,CY25-05
MAGNet,0.917910447761194,CY25-05
MAGNet,0.9242424242424243,CY25-05
MAGNet,0.9153846153846155,CY25-05
MAGNet,0.9140625,CY25-05
MAGNet,0.8968253968253967,CY25-05
MAGNet,0.9032258064516129,CY25-05
MAGNet,0.9016393442622951,CY25-05
MAGNet,0.8916666666666666,CY25-05
MAGNet,0.8898305084745763,CY25-05
MAGNet,0.896551724137931,CY25-05
MAGNet,0.9035087719298245,CY25-05
MAGNet,0.9017857142857143,CY25-05
MAGNet,0.8909090909090909,CY25-05
MAGNet,0.8888888888888888,CY25-05
MAGNet,0.8962264150943396,CY25-05
MAGNet,0.9038461538461539,CY25-05
MAGNet,0.892156862745098,CY25-05
MAGNet,0.89,CY25-05
MAGNet,0.8979591836734694,CY25-05
MAGNet,0.8958333333333333,CY25-05
MAGNet,0.9042553191489362,CY25-05
MAGNet,0.8695652173913043,CY25-05
MAGNet,0.8666666666666667,CY25-05
MAGNet,0.875,CY25-05
MAGNet,0.872093023255814,CY25-05
MAGNet,0.9047619047619048,CY25-05
MAGNet,0.9024390243902439,CY25-05
MAGNet,0.925,CY25-05
MAGNet,0.9358974358974359,CY25-05
MAGNet,0.9605263157894737,CY25-05
MAGNet,0.9864864864864865,CY25-05
MAGNet,0.9861111111111112,CY25-05
MAGNet,0.9857142857142858,CY25-05
MAGNet,0.9852941176470589,CY25-05
MAGNet,0.9848484848484849,CY25-05
MAGNet,0.984375,CY25-05
MAGNet,0.9838709677419355,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,0.9966666666666666,CY45-05
MAGNet,0.9966666666666666,CY45-05
MAGNet,1.0,CY45-05
MAGNet,0.9933333333333334,CY45-05
MAGNet,0.9633333333333334,CY45-05
MAGNet,0.94,CY45-05
MAGNet,0.8633333333333333,CY45-05
MAGNet,0.8366666666666667,CY45-05
MAGNet,0.8333333333333333,CY45-05
MAGNet,0.81,CY45-05
MAGNet,0.8,CY45-05
MAGNet,0.7,CY45-05
MAGNet,0.6066666666666667,CY45-05
MAGNet,0.6333333333333333,CY45-05
MAGNet,0.6966666666666667,CY45-05
MAGNet,0.8133333333333332,CY45-05
MAGNet,0.79,CY45-05
MAGNet,0.8899999999999999,CY45-05
MAGNet,0.9933333333333334,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
MAGNet,1.0,CY45-05
